percentile,tier,Revenue
1,Basic,32910.81
2,Basic,65737.36
3,Basic,80306.42
4,Basic,91312.95
5,Basic,100217.04
6,Basic,108305.26
7,Basic,116753.67
8,Basic,123305.2
9,Basic,130089.28
10,Basic,136486.58
11,Basic,143091.26
12,Basic,149216.74
13,Basic,155543.25
14,Basic,161563.09
15,Basic,168188.8
16,Basic,175208.89
17,Basic,180947.19
18,Basic,187221.22
19,Basic,194457.79
20,Basic,199956.72
21,Basic,206721.33
22,Basic,213378.39
23,Basic,220635.48
24,Basic,227006.96
25,Basic,234890.37
26,Basic,241510.21
27,Basic,248313.51
28,Basic,254954.89
29,Basic,263125.76
30,Basic,270878.21
31,Basic,278403.9
32,Basic,286156.35
33,Basic,294316.55
34,Basic,301857.69
35,Basic,310729.04
36,Basic,319237.08
37,Basic,327676.35
38,Basic,336468.87
39,Basic,345916.95
40,Basic,354983.23
41,Basic,364350.64
42,Basic,374083.42
43,Basic,384771.4
44,Basic,395366.51
45,Basic,405802.29
46,Basic,416428.45
47,Basic,427731.51
48,Basic,439767.42
49,Basic,451075.96
50,Basic,463127.75
51,Basic,476228.33
52,Basic,487737.92
53,Basic,501382.88
54,Basic,514981.96
55,Basic,529157.15
56,Basic,543280.98
57,Basic,557160.44
58,Basic,573414.69
59,Basic,589766.87
60,Basic,607294.79
61,Basic,633311.59
62,Basic,664842.57
63,Basic,701999.12
64,Basic,745366.49
65,Basic,797180.61
66,Basic,861789.13
67,Basic,946970.19
68,Basic,1070727.72
69,Basic,1302957.47
70,Basic,969739.715
71,Silver,842741.295
72,Silver,705197.67
73,Silver,750277.71
74,Silver,794829.73
75,Silver,840206.71
76,Silver,885850.68
77,Silver,934194
78,Silver,983449.67
79,Silver,1035152.5
80,Silver,1089671.03
81,Silver,1145520.69
82,Silver,1204549.88
83,Silver,1268265.21
84,Silver,1336074.76
85,Silver,1409530.18
86,Silver,1488932.82
87,Silver,1574766.16
88,Silver,1668638.02
89,Silver,1771294.7
90,Silver,1970176.56
91,Silver,1292623.08
92,Gold,2947927.39
93,Gold,2285203.27
94,Gold,2491920.09
95,Gold,2732275.21
96,Gold,3025696.83
97,Gold,2818237.915
98,Platinum,4532100.395
99,Platinum,4780126.29
100,Platinum,7327387.21